"lat","lon","start_station_id","count"
42.396105,-71.139459,142,8142
42.39407224,-71.11133695,239,7978
42.34521562,-71.06384031,363,7965
42.309054,-71.11543,124,7954
42.40231703,-71.12671129,114,7853
42.36769018,-71.07116282,182,7728
42.38614141,-71.0782814,194,7569
42.3388956,-71.08149976,364,7521
42.34953017,-71.13022771,332,7405
42.377022,-71.056605,129,7142
42.34776345,-71.04535997,65,7088
42.35182807,-71.06781138,345,7077
42.40449,-71.123413,111,7001
42.32984299,-71.08386572,56,6775
42.35732922,-71.1467354,37,6700
42.35155308,-71.07569031,384,6309
42.326599,-71.066498,138,6273
42.39638681,-71.12011306,328,6161
42.32033974,-71.05118036,93,6159
42.332817,-71.081198,200,5976
42.33274392,-71.11626681,86,5932
42.34835863,-71.13997217,338,5890
42.37927325,-71.10341903,377,5889
42.39558846,-71.14260614,183,5857
42.3339227,-71.10446509,359,5705
42.33658555,-71.09886996,331,5417
42.38165061,-71.13426982,181,5409
42.34254914,-71.07421449,379,5381
42.34278116,-71.05747275,366,5378
42.38032335,-71.10878613,378,5128
42.317642,-71.056664,167,5104
42.36884408,-71.03977829,212,4638
42.320561,-71.06198,128,4432
42.3494261,-71.0620996,365,4417
42.36550729,-71.0801376,398,4232
42.406302,-71.132446,112,4127
42.36955298,-71.08579015,413,4056
42.380857,-71.070629,280,4009
42.315692,-71.098634,126,4000
42.37487847,-71.06383499,327,3958
42.39120972,-71.12260755,334,3938
42.316966,-71.104374,282,3868
42.3602737,-71.12852452,376,3671
42.39044949,-71.1085595,156,3655
42.33664795,-71.0689446,385,3583
42.38267828,-71.14347895,224,3337
42.37500235,-71.14871614,333,3306
42.34954403,-71.07242074,415,3291
42.3951715,-71.09850592,234,3257
42.31727474,-71.06537004,130,3222
42.34135616,-71.08336953,404,3212
42.31218918,-71.03648586,92,3174
42.34895285,-71.16031677,174,3172
42.34286835,-71.14127841,354,3142
42.37207658,-71.08995434,437,2987
42.32143814,-71.09126061,197,2974
42.38952436,-71.1169414,409,2923
42.38042947,-71.06055722,358,2892
42.31787329,-71.08243078,196,2828
42.39223284,-71.07746601,236,2818
42.36489293,-71.03497177,211,2818
42.3529457,-71.05656401,426,2817
42.38170676,-71.08377187,329,2779
42.38762811,-71.08318716,235,2758
42.3106,-71.0539,173,2728
42.39108438,-71.09039426,188,2717
42.33023071,-71.05060093,362,2694
42.33978053,-71.1213335,403,2622
42.369536,-71.039431,213,2605
42.34303291,-71.0668873,412,2601
42.34734473,-71.10016808,400,2430
42.3121203,-71.1142981,357,2427
42.37331213,-71.04102008,219,2419
42.35057,-71.166491,208,2407
42.300923,-71.114249,273,2273
42.36435589,-71.06959369,416,2182
42.316902,-71.091946,201,2172
42.33554308,-71.1506152,346,2099
42.3294633,-71.0901582,360,2086
42.34474225,-71.07648162,417,2079
42.306539,-71.107669,279,1997
42.37535497,-71.03133336,214,1972
42.30785224,-71.06512249,205,1925
42.3334,-71.02495,296,1801
42.370744,-71.044201,215,1683
42.38393225,-71.13961272,367,1679
42.34024645,-71.15168806,344,1653
42.38830554,-71.11067977,407,1551
42.38078817,-71.15412891,371,1548
42.33833424,-71.1305093,402,1517
42.31869734,-71.06978148,199,1499
42.325333,-71.075354,106,1493
42.33209606,-71.12845883,191,1399
42.38717463,-71.08714389,408,1320
42.34960945,-71.10391524,446,1310
42.324081,-71.083235,204,1297
42.309796,-71.092225,162,1239
42.303469,-71.085347,170,1160
42.34854543,-71.06559185,399,1133
42.3936,-71.143941,319,1129
42.35276621,-71.15988486,351,1100
42.3991826,-71.11104455,101,1091
42.386781,-71.006098,217,1086
42.32784317,-71.12536222,187,1078
42.309572,-71.0729,203,1046
42.30791,-71.080952,202,920
42.39189812,-71.09745376,406,913
42.39648358,-71.0654676,390,776
42.379772,-71.027448,209,735
42.2996667,-71.0605833,260,720
42.38353252,-71.01619095,210,692
42.3983606,-71.06373843,397,625
42.36178741,-71.14393111,428,612
42.287072,-71.127754,337,605
42.38240378,-71.03024304,216,593
42.32039374,-71.05355408,405,546
42.32538436,-71.12177596,401,537
42.39790817,-71.14797131,414,507
42.30412793,-71.07929528,232,478
42.2856944,-71.0641389,271,440
42.2873611,-71.071111,350,394
42.40725945,-71.05546381,389,381
42.28630716,-71.12820532,341,364
42.37544913,-71.03918549,419,326
42.28297568,-71.05466698,258,307
42.38522394,-71.01063069,355,304
42.30604563,-71.11570891,424,297
42.29266593,-71.12119539,339,294
42.292917,-71.06575,272,267
42.31930943,-71.09639924,425,262
42.38445226,-71.07514855,441,260
42.28634589,-71.1367213,373,254
42.290333,-71.071806,349,246
42.35656092,-71.14167538,440,240
42.40933007,-71.06381878,396,216
42.39329263,-71.0724476,391,216
42.2945833,-71.087111,348,184
42.40615157,-71.06040745,388,179
42.29175622,-71.0625918,411,173
42.267902,-71.093641,336,173
42.41034691,-71.05260458,394,152
42.41143223,-71.06823265,387,141
42.33286288,-71.09218862,443,138
42.41250451,-71.05842225,393,126
42.29916498,-71.07345872,259,113
42.29606705,-71.116012,442,101
42.29167943,-71.05726346,410,98
42.31886468,-71.04536798,445,94
42.28072514,-71.08617242,343,91
42.36774122,-71.03335975,436,78
42.2920896,-71.07841156,255,72
42.40328057,-71.0476264,395,72
42.28072815,-71.13423757,427,66
42.41427294,-71.04479656,392,63
42.28277901,-71.15728851,433,61
42.27462067,-71.09372552,340,59
42.28633199,-71.15344755,432,57
42.2773889,-71.09325,353,55
42.29118035,-71.11773666,421,48
42.28621295,-71.07942931,347,37
42.27881158,-71.11687703,422,37
42.28484472,-71.11874517,423,21
42.27094707,-71.07337901,435,19
42.27748444,-71.16341468,434,18
42.2771947,-71.06955614,430,15
42.28198628,-71.07147925,431,5
