"lat","lon","end_station_id","count"
42.400877,-71.116772,102,7740
42.35182807,-71.06781138,345,7675
42.392766,-71.129042,145,7550
42.34953017,-71.13022771,332,7301
42.377022,-71.056605,129,7244
42.36769018,-71.07116282,182,7234
42.38614141,-71.0782814,194,7174
42.3388956,-71.08149976,364,7174
42.36860524,-71.09930186,386,7033
42.326599,-71.066498,138,6903
42.32984299,-71.08386572,56,6897
42.35732922,-71.1467354,37,6866
42.34776345,-71.04535997,65,6750
42.32760387,-71.1108917,159,6716
42.35155308,-71.07569031,384,6450
42.40449,-71.123413,111,6415
42.33274392,-71.11626681,86,6372
42.332817,-71.081198,200,6286
42.32033974,-71.05118036,93,6222
42.39407224,-71.11133695,239,6204
42.39558846,-71.14260614,183,6143
42.33658555,-71.09886996,331,5699
42.38165061,-71.13426982,181,5486
42.40231703,-71.12671129,114,5424
42.34278116,-71.05747275,366,5410
42.34254914,-71.07421449,379,5270
42.3339227,-71.10446509,359,5138
42.37927325,-71.10341903,377,5082
42.38032335,-71.10878613,378,5038
42.34835863,-71.13997217,338,4887
42.317642,-71.056664,167,4755
42.36884408,-71.03977829,212,4669
42.3494261,-71.0620996,365,4542
42.320561,-71.06198,128,4466
42.36550729,-71.0801376,398,4309
42.37487847,-71.06383499,327,4209
42.36955298,-71.08579015,413,4011
42.316966,-71.104374,282,3922
42.380857,-71.070629,280,3898
42.39120972,-71.12260755,334,3794
42.39223284,-71.07746601,236,3742
42.3602737,-71.12852452,376,3650
42.33664795,-71.0689446,385,3637
42.34895285,-71.16031677,174,3505
42.406302,-71.132446,112,3423
42.38267828,-71.14347895,224,3363
42.37500235,-71.14871614,333,3355
42.315692,-71.098634,126,3254
42.34135616,-71.08336953,404,3223
42.31218918,-71.03648586,92,3222
42.34954403,-71.07242074,415,3162
42.3529457,-71.05656401,426,3071
42.3106,-71.0539,173,3012
42.31727474,-71.06537004,130,3011
42.33023071,-71.05060093,362,2928
42.36489293,-71.03497177,211,2909
42.39044949,-71.1085595,156,2907
